,변환된_일시,평균기온(℃),평균풍속(m/s),평균습도(%rh),damagearea
0,2017-01,-4.4,1.5,59.0,0.01
1,2017-01,-4.4,1.5,59.0,0.08
2,2017-01,-4.4,1.5,59.0,0.1
3,2017-01,-4.4,1.5,59.0,0.01
4,2017-01,-4.4,1.5,59.0,0.01
5,2017-01,-4.4,1.5,59.0,0.03
6,2017-01,-4.4,1.5,59.0,0.3
7,2017-01,-4.4,1.5,59.0,0.05
8,2017-01,-4.4,1.5,59.0,0.08
9,2017-01,-4.4,1.5,59.0,0.05
10,2017-01,-4.4,1.5,59.0,0.2
11,2017-01,-4.4,1.5,59.0,0.04
12,2017-01,-4.4,1.5,59.0,0.1
13,2017-01,-4.4,1.5,59.0,0.02
14,2017-01,-4.4,1.5,59.0,0.05
15,2017-01,-4.4,1.5,59.0,0.08
16,2017-01,-4.4,1.5,59.0,0.01
17,2017-01,-4.4,1.5,59.0,0.01
18,2017-01,-4.4,1.5,59.0,0.1
19,2017-01,-4.4,1.5,59.0,0.01
20,2017-01,-4.4,1.5,59.0,0.3
21,2017-01,-4.4,1.5,59.0,0.2
22,2017-01,-4.4,1.5,59.0,0.5
23,2017-01,-4.4,1.5,59.0,0.05
24,2017-01,-4.4,1.5,59.0,0.06
25,2017-01,-4.4,1.5,59.0,0.02
26,2017-01,-4.4,1.5,59.0,0.05
27,2017-01,-4.4,1.5,59.0,0.5
28,2017-01,-4.4,1.5,59.0,0.03
29,2017-01,-4.4,1.5,59.0,0.04
30,2017-01,-4.4,1.5,59.0,0.2
31,2017-01,-4.4,1.5,59.0,0.1
32,2017-01,-4.4,1.5,59.0,0.05
33,2017-01,-4.4,1.5,59.0,0.08
34,2017-01,-4.4,1.5,59.0,0.2
35,2017-02,-2.2,1.7,53.0,0.06
36,2017-02,-2.2,1.7,53.0,0.05
37,2017-02,-2.2,1.7,53.0,0.8
38,2017-02,-2.2,1.7,53.0,0.01
39,2017-02,-2.2,1.7,53.0,0.1
40,2017-02,-2.2,1.7,53.0,0.2
41,2017-02,-2.2,1.7,53.0,0.8
42,2017-02,-2.2,1.7,53.0,0.1
43,2017-02,-2.2,1.7,53.0,0.2
44,2017-02,-2.2,1.7,53.0,0.1
45,2017-02,-2.2,1.7,53.0,0.03
46,2017-02,-2.2,1.7,53.0,0.01
47,2017-02,-2.2,1.7,53.0,0.3
48,2017-02,-2.2,1.7,53.0,0.03
49,2017-02,-2.2,1.7,53.0,0.2
50,2017-02,-2.2,1.7,53.0,0.01
51,2017-02,-2.2,1.7,53.0,0.01
52,2017-02,-2.2,1.7,53.0,0.1
53,2017-02,-2.2,1.7,53.0,0.45
54,2017-02,-2.2,1.7,53.0,0.2
55,2017-02,-2.2,1.7,53.0,0.1
56,2017-02,-2.2,1.7,53.0,0.01
57,2017-02,-2.2,1.7,53.0,0.02
58,2017-02,-2.2,1.7,53.0,0.01
59,2017-02,-2.2,1.7,53.0,0.15
60,2017-02,-2.2,1.7,53.0,0.2
61,2017-02,-2.2,1.7,53.0,0.01
62,2017-02,-2.2,1.7,53.0,0.01
63,2017-02,-2.2,1.7,53.0,0.01
64,2017-02,-2.2,1.7,53.0,0.08
65,2017-02,-2.2,1.7,53.0,0.3
66,2017-02,-2.2,1.7,53.0,0.2
67,2017-02,-2.2,1.7,53.0,0.03
68,2017-02,-2.2,1.7,53.0,0.3
69,2017-02,-2.2,1.7,53.0,0.1
70,2017-02,-2.2,1.7,53.0,0.01
71,2017-02,-2.2,1.7,53.0,0.3
72,2017-02,-2.2,1.7,53.0,0.01
73,2017-02,-2.2,1.7,53.0,0.01
74,2017-02,-2.2,1.7,53.0,0.03
75,2017-02,-2.2,1.7,53.0,0.1
76,2017-02,-2.2,1.7,53.0,0.01
77,2017-02,-2.2,1.7,53.0,0.04
78,2017-02,-2.2,1.7,53.0,0.01
79,2017-02,-2.2,1.7,53.0,0.06
80,2017-02,-2.2,1.7,53.0,0.1
81,2017-02,-2.2,1.7,53.0,0.01
82,2017-02,-2.2,1.7,53.0,0.04
83,2017-02,-2.2,1.7,53.0,0.03
84,2017-02,-2.2,1.7,53.0,0.15
85,2017-02,-2.2,1.7,53.0,0.1
86,2017-02,-2.2,1.7,53.0,0.2
87,2017-02,-2.2,1.7,53.0,0.03
88,2017-02,-2.2,1.7,53.0,0.2
89,2017-02,-2.2,1.7,53.0,0.8
90,2017-02,-2.2,1.7,53.0,0.01
91,2017-02,-2.2,1.7,53.0,0.1
92,2017-02,-2.2,1.7,53.0,0.2
93,2017-02,-2.2,1.7,53.0,0.45
94,2017-02,-2.2,1.7,53.0,0.01
95,2017-02,-2.2,1.7,53.0,0.01
96,2017-02,-2.2,1.7,53.0,0.01
97,2017-02,-2.2,1.7,53.0,0.01
98,2017-02,-2.2,1.7,53.0,0.1
99,2017-02,-2.2,1.7,53.0,0.2
100,2017-02,-2.2,1.7,53.0,0.1
101,2017-02,-2.2,1.7,53.0,0.01
102,2017-02,-2.2,1.7,53.0,0.05
103,2017-02,-2.2,1.7,53.0,0.1
104,2017-02,-2.2,1.7,53.0,0.01
105,2017-02,-2.2,1.7,53.0,0.03
106,2017-02,-2.2,1.7,53.0,0.3
107,2017-02,-2.2,1.7,53.0,0.01
108,2017-02,-2.2,1.7,53.0,0.01
109,2017-02,-2.2,1.7,53.0,0.01
110,2017-02,-2.2,1.7,53.0,0.8
111,2017-02,-2.2,1.7,53.0,0.3
112,2017-02,-2.2,1.7,53.0,0.08
113,2017-02,-2.2,1.7,53.0,0.3
114,2017-02,-2.2,1.7,53.0,0.03
115,2017-02,-2.2,1.7,53.0,0.2
116,2017-02,-2.2,1.7,53.0,0.2
117,2017-02,-2.2,1.7,53.0,0.3
118,2017-02,-2.2,1.7,53.0,0.1
119,2017-02,-2.2,1.7,53.0,0.01
120,2017-02,-2.2,1.7,53.0,0.02
121,2017-03,1.7,1.4,60.0,0.02
122,2017-03,1.7,1.4,60.0,0.03
123,2017-03,1.7,1.4,60.0,0.2
124,2017-03,1.7,1.4,60.0,0.16
125,2017-03,1.7,1.4,60.0,0.01
126,2017-03,1.7,1.4,60.0,0.05
127,2017-03,1.7,1.4,60.0,0.01
128,2017-03,1.7,1.4,60.0,0.05
129,2017-03,1.7,1.4,60.0,75.0
130,2017-03,1.7,1.4,60.0,0.16
131,2017-03,1.7,1.4,60.0,0.02
132,2017-03,1.7,1.4,60.0,1.0
133,2017-03,1.7,1.4,60.0,0.05
134,2017-03,1.7,1.4,60.0,0.2
135,2017-03,1.7,1.4,60.0,0.15
136,2017-03,1.7,1.4,60.0,0.1
137,2017-03,1.7,1.4,60.0,2.0
138,2017-03,1.7,1.4,60.0,0.01
139,2017-03,1.7,1.4,60.0,0.01
140,2017-03,1.7,1.4,60.0,0.1
141,2017-03,1.7,1.4,60.0,0.01
142,2017-03,1.7,1.4,60.0,0.01
143,2017-03,1.7,1.4,60.0,0.1
144,2017-03,1.7,1.4,60.0,0.15
145,2017-03,1.7,1.4,60.0,0.03
146,2017-03,1.7,1.4,60.0,0.03
147,2017-03,1.7,1.4,60.0,0.01
148,2017-03,1.7,1.4,60.0,0.4
149,2017-03,1.7,1.4,60.0,0.8
150,2017-03,1.7,1.4,60.0,0.04
151,2017-03,1.7,1.4,60.0,0.2
152,2017-03,1.7,1.4,60.0,0.03
153,2017-03,1.7,1.4,60.0,0.09
154,2017-03,1.7,1.4,60.0,0.5
155,2017-03,1.7,1.4,60.0,0.03
156,2017-03,1.7,1.4,60.0,0.01
157,2017-03,1.7,1.4,60.0,0.2
158,2017-03,1.7,1.4,60.0,0.3
159,2017-03,1.7,1.4,60.0,0.02
160,2017-03,1.7,1.4,60.0,0.3
161,2017-03,1.7,1.4,60.0,0.5
162,2017-03,1.7,1.4,60.0,0.01
163,2017-03,1.7,1.4,60.0,0.2
164,2017-03,1.7,1.4,60.0,0.01
165,2017-03,1.7,1.4,60.0,0.1
166,2017-03,1.7,1.4,60.0,0.3
167,2017-03,1.7,1.4,60.0,0.01
168,2017-03,1.7,1.4,60.0,0.03
169,2017-03,1.7,1.4,60.0,0.3
170,2017-03,1.7,1.4,60.0,0.05
171,2017-03,1.7,1.4,60.0,0.09
172,2017-03,1.7,1.4,60.0,0.05
173,2017-03,1.7,1.4,60.0,0.5
174,2017-03,1.7,1.4,60.0,0.1
175,2017-03,1.7,1.4,60.0,0.01
176,2017-03,1.7,1.4,60.0,1.5
177,2017-03,1.7,1.4,60.0,0.2
178,2017-03,1.7,1.4,60.0,2.0
179,2017-03,1.7,1.4,60.0,0.01
180,2017-03,1.7,1.4,60.0,0.1
181,2017-03,1.7,1.4,60.0,0.01
182,2017-03,1.7,1.4,60.0,0.05
183,2017-03,1.7,1.4,60.0,1.0
184,2017-03,1.7,1.4,60.0,0.2
185,2017-03,1.7,1.4,60.0,0.16
186,2017-03,1.7,1.4,60.0,0.02
187,2017-03,1.7,1.4,60.0,0.05
188,2017-03,1.7,1.4,60.0,0.03
189,2017-03,1.7,1.4,60.0,0.05
190,2017-03,1.7,1.4,60.0,0.01
191,2017-03,1.7,1.4,60.0,0.5
192,2017-03,1.7,1.4,60.0,0.1
193,2017-03,1.7,1.4,60.0,0.03
194,2017-03,1.7,1.4,60.0,0.16
195,2017-03,1.7,1.4,60.0,0.01
196,2017-03,1.7,1.4,60.0,0.01
197,2017-03,1.7,1.4,60.0,75.0
198,2017-03,1.7,1.4,60.0,0.1
199,2017-03,1.7,1.4,60.0,0.2
200,2017-03,1.7,1.4,60.0,0.1
201,2017-03,1.7,1.4,60.0,0.1
202,2017-03,1.7,1.4,60.0,0.05
203,2017-03,1.7,1.4,60.0,0.09
204,2017-03,1.7,1.4,60.0,0.3
205,2017-03,1.7,1.4,60.0,0.3
206,2017-03,1.7,1.4,60.0,0.01
207,2017-03,1.7,1.4,60.0,0.1
208,2017-03,1.7,1.4,60.0,0.3
209,2017-03,1.7,1.4,60.0,0.3
210,2017-03,1.7,1.4,60.0,0.01
211,2017-03,1.7,1.4,60.0,0.03
212,2017-03,1.7,1.4,60.0,0.5
213,2017-03,1.7,1.4,60.0,0.3
214,2017-03,1.7,1.4,60.0,0.09
215,2017-03,1.7,1.4,60.0,0.05
216,2017-03,1.7,1.4,60.0,0.02
217,2017-03,1.7,1.4,60.0,0.2
218,2017-03,1.7,1.4,60.0,0.06
219,2017-03,1.7,1.4,60.0,0.1
220,2017-03,1.7,1.4,60.0,0.01
221,2017-03,1.7,1.4,60.0,0.02
222,2017-03,1.7,1.4,60.0,0.1
223,2017-03,1.7,1.4,60.0,0.2
224,2017-03,1.7,1.4,60.0,0.03
225,2017-03,1.7,1.4,60.0,0.5
226,2017-03,1.7,1.4,60.0,0.03
227,2017-03,1.7,1.4,60.0,0.05
228,2017-03,1.7,1.4,60.0,0.05
229,2017-03,1.7,1.4,60.0,0.02
230,2017-03,1.7,1.4,60.0,0.01
231,2017-03,1.7,1.4,60.0,0.02
232,2017-03,1.7,1.4,60.0,0.1
233,2017-03,1.7,1.4,60.0,0.02
234,2017-03,1.7,1.4,60.0,0.15
235,2017-03,1.7,1.4,60.0,0.02
236,2017-03,1.7,1.4,60.0,0.1
237,2017-03,1.7,1.4,60.0,0.5
238,2017-03,1.7,1.4,60.0,0.02
239,2017-03,1.7,1.4,60.0,0.01
240,2017-03,1.7,1.4,60.0,0.02
241,2017-03,1.7,1.4,60.0,0.03
242,2017-03,1.7,1.4,60.0,0.01
243,2017-03,1.7,1.4,60.0,0.1
244,2017-03,1.7,1.4,60.0,0.5
245,2017-03,1.7,1.4,60.0,0.2
246,2017-03,1.7,1.4,60.0,0.01
247,2017-03,1.7,1.4,60.0,0.09
248,2017-03,1.7,1.4,60.0,0.1
249,2017-03,1.7,1.4,60.0,0.09
250,2017-03,1.7,1.4,60.0,0.3
251,2017-03,1.7,1.4,60.0,1.5
252,2017-03,1.7,1.4,60.0,0.01
253,2017-03,1.7,1.4,60.0,0.03
254,2017-03,1.7,1.4,60.0,0.04
255,2017-03,1.7,1.4,60.0,0.05
256,2017-03,1.7,1.4,60.0,0.4
257,2017-03,1.7,1.4,60.0,0.3
258,2017-03,1.7,1.4,60.0,0.01
259,2017-03,1.7,1.4,60.0,0.5
260,2017-03,1.7,1.4,60.0,0.03
261,2017-03,1.7,1.4,60.0,0.8
262,2017-03,1.7,1.4,60.0,0.01
263,2017-03,1.7,1.4,60.0,0.3
264,2017-03,1.7,1.4,60.0,0.05
265,2017-03,1.7,1.4,60.0,0.2
266,2017-03,1.7,1.4,60.0,0.09
267,2017-03,1.7,1.4,60.0,0.05
268,2017-03,1.7,1.4,60.0,0.3
269,2017-03,1.7,1.4,60.0,0.1
270,2017-03,1.7,1.4,60.0,0.05
271,2017-03,1.7,1.4,60.0,0.2
272,2017-03,1.7,1.4,60.0,0.6
273,2017-03,1.7,1.4,60.0,0.03
274,2017-03,1.7,1.4,60.0,1.0
275,2017-03,1.7,1.4,60.0,0.15
276,2017-03,1.7,1.4,60.0,0.01
277,2017-03,1.7,1.4,60.0,0.15
278,2017-03,1.7,1.4,60.0,1.0
279,2017-03,1.7,1.4,60.0,0.5
280,2017-03,1.7,1.4,60.0,1.5
281,2017-03,1.7,1.4,60.0,0.01
282,2017-03,1.7,1.4,60.0,0.76
283,2017-03,1.7,1.4,60.0,0.7
284,2017-03,1.7,1.4,60.0,0.2
285,2017-03,1.7,1.4,60.0,0.3
286,2017-03,1.7,1.4,60.0,0.01
287,2017-03,1.7,1.4,60.0,0.4
288,2017-03,1.7,1.4,60.0,0.5
289,2017-03,1.7,1.4,60.0,0.01
290,2017-03,1.7,1.4,60.0,0.6
291,2017-03,1.7,1.4,60.0,0.1
292,2017-03,1.7,1.4,60.0,0.01
293,2017-03,1.7,1.4,60.0,0.5
294,2017-03,1.7,1.4,60.0,0.2
295,2017-03,1.7,1.4,60.0,0.16
296,2017-03,1.7,1.4,60.0,0.1
297,2017-03,1.7,1.4,60.0,0.15
298,2017-03,1.7,1.4,60.0,0.3
299,2017-03,1.7,1.4,60.0,0.01
300,2017-03,1.7,1.4,60.0,0.4
301,2017-03,1.7,1.4,60.0,0.03
302,2017-03,1.7,1.4,60.0,0.02
303,2017-03,1.7,1.4,60.0,0.01
304,2017-03,1.7,1.4,60.0,0.02
305,2017-03,1.7,1.4,60.0,0.5
306,2017-03,1.7,1.4,60.0,0.1
307,2017-03,1.7,1.4,60.0,0.3
308,2017-03,1.7,1.4,60.0,0.2
309,2017-03,1.7,1.4,60.0,3.0
310,2017-03,1.7,1.4,60.0,0.05
311,2017-03,1.7,1.4,60.0,0.03
312,2017-03,1.7,1.4,60.0,2.0
313,2017-03,1.7,1.4,60.0,0.15
314,2017-03,1.7,1.4,60.0,0.3
315,2017-03,1.7,1.4,60.0,0.1
316,2017-03,1.7,1.4,60.0,1.5
317,2017-03,1.7,1.4,60.0,1.3
318,2017-03,1.7,1.4,60.0,0.03
319,2017-03,1.7,1.4,60.0,0.1
320,2017-03,1.7,1.4,60.0,0.03
321,2017-03,1.7,1.4,60.0,0.2
322,2017-03,1.7,1.4,60.0,0.9
323,2017-03,1.7,1.4,60.0,0.1
324,2017-03,1.7,1.4,60.0,0.05
325,2017-03,1.7,1.4,60.0,0.03
326,2017-03,1.7,1.4,60.0,0.2
327,2017-03,1.7,1.4,60.0,0.6
328,2017-03,1.7,1.4,60.0,2.0
329,2017-03,1.7,1.4,60.0,0.01
330,2017-03,1.7,1.4,60.0,0.03
331,2017-03,1.7,1.4,60.0,0.04
332,2017-03,1.7,1.4,60.0,0.2
333,2017-03,1.7,1.4,60.0,0.05
334,2017-03,1.7,1.4,60.0,0.1
335,2017-03,1.7,1.4,60.0,0.3
336,2017-03,1.7,1.4,60.0,0.02
337,2017-03,1.7,1.4,60.0,0.1
338,2017-03,1.7,1.4,60.0,0.5
339,2017-03,1.7,1.4,60.0,0.3
340,2017-03,1.7,1.4,60.0,0.01
341,2017-03,1.7,1.4,60.0,1.0
342,2017-03,1.7,1.4,60.0,1.0
343,2017-03,1.7,1.4,60.0,0.15
344,2017-03,1.7,1.4,60.0,0.5
345,2017-03,1.7,1.4,60.0,0.01
346,2017-03,1.7,1.4,60.0,0.15
347,2017-03,1.7,1.4,60.0,0.76
348,2017-03,1.7,1.4,60.0,0.4
349,2017-03,1.7,1.4,60.0,0.01
350,2017-03,1.7,1.4,60.0,0.5
351,2017-03,1.7,1.4,60.0,0.02
352,2017-03,1.7,1.4,60.0,0.2
353,2017-03,1.7,1.4,60.0,1.3
354,2017-03,1.7,1.4,60.0,1.5
355,2017-03,1.7,1.4,60.0,0.03
356,2017-03,1.7,1.4,60.0,0.1
357,2017-03,1.7,1.4,60.0,1.5
358,2017-03,1.7,1.4,60.0,0.03
359,2017-03,1.7,1.4,60.0,0.7
360,2017-03,1.7,1.4,60.0,0.05
361,2017-03,1.7,1.4,60.0,0.1
362,2017-03,1.7,1.4,60.0,0.15
363,2017-03,1.7,1.4,60.0,0.01
364,2017-03,1.7,1.4,60.0,0.01
365,2017-03,1.7,1.4,60.0,0.2
366,2017-03,1.7,1.4,60.0,0.3
367,2017-03,1.7,1.4,60.0,0.1
368,2017-03,1.7,1.4,60.0,0.16
369,2017-03,1.7,1.4,60.0,0.2
370,2017-03,1.7,1.4,60.0,0.03
371,2017-03,1.7,1.4,60.0,0.02
372,2017-03,1.7,1.4,60.0,0.01
373,2017-03,1.7,1.4,60.0,0.01
374,2017-03,1.7,1.4,60.0,0.1
375,2017-03,1.7,1.4,60.0,0.6
376,2017-03,1.7,1.4,60.0,0.5
377,2017-03,1.7,1.4,60.0,0.02
378,2017-03,1.7,1.4,60.0,0.01
379,2017-03,1.7,1.4,60.0,0.4
380,2017-03,1.7,1.4,60.0,0.2
381,2017-03,1.7,1.4,60.0,0.5
382,2017-03,1.7,1.4,60.0,0.01
383,2017-03,1.7,1.4,60.0,0.1
384,2017-03,1.7,1.4,60.0,0.02
385,2017-03,1.7,1.4,60.0,0.06
386,2017-03,1.7,1.4,60.0,0.2
387,2017-03,1.7,1.4,60.0,0.02
388,2017-03,1.7,1.4,60.0,0.1
389,2017-03,1.7,1.4,60.0,0.15
390,2017-03,1.7,1.4,60.0,0.1
391,2017-03,1.7,1.4,60.0,0.03
392,2017-03,1.7,1.4,60.0,0.02
393,2017-03,1.7,1.4,60.0,0.01
394,2017-03,1.7,1.4,60.0,0.3
395,2017-03,1.7,1.4,60.0,0.05
396,2017-03,1.7,1.4,60.0,0.01
397,2017-03,1.7,1.4,60.0,0.09
398,2017-03,1.7,1.4,60.0,0.02
399,2017-03,1.7,1.4,60.0,0.05
400,2017-03,1.7,1.4,60.0,0.1
401,2017-03,1.7,1.4,60.0,0.02
402,2017-03,1.7,1.4,60.0,0.1
403,2017-03,1.7,1.4,60.0,0.05
404,2017-03,1.7,1.4,60.0,0.3
405,2017-03,1.7,1.4,60.0,0.3
406,2017-03,1.7,1.4,60.0,0.05
407,2017-03,1.7,1.4,60.0,2.0
408,2017-03,1.7,1.4,60.0,0.03
409,2017-03,1.7,1.4,60.0,0.9
410,2017-03,1.7,1.4,60.0,0.05
411,2017-03,1.7,1.4,60.0,0.6
412,2017-03,1.7,1.4,60.0,0.04
413,2017-03,1.7,1.4,60.0,0.2
414,2017-03,1.7,1.4,60.0,0.1
415,2017-03,1.7,1.4,60.0,0.03
416,2017-03,1.7,1.4,60.0,0.05
417,2017-03,1.7,1.4,60.0,0.3
418,2017-03,1.7,1.4,60.0,3.0
419,2017-03,1.7,1.4,60.0,0.15
420,2017-03,1.7,1.4,60.0,0.6
421,2017-03,1.7,1.4,60.0,0.2
422,2017-03,1.7,1.4,60.0,0.03
423,2017-03,1.7,1.4,60.0,0.05
424,2017-03,1.7,1.4,60.0,2.0
425,2017-04,10.4,2.0,54.0,0.15
426,2017-04,10.4,2.0,54.0,0.4
427,2017-04,10.4,2.0,54.0,1.0
428,2017-04,10.4,2.0,54.0,0.1
429,2017-04,10.4,2.0,54.0,0.05
430,2017-04,10.4,2.0,54.0,0.02
431,2017-04,10.4,2.0,54.0,0.09
432,2017-04,10.4,2.0,54.0,0.01
433,2017-04,10.4,2.0,54.0,0.17
434,2017-04,10.4,2.0,54.0,2.0
435,2017-04,10.4,2.0,54.0,0.2
436,2017-04,10.4,2.0,54.0,0.01
437,2017-04,10.4,2.0,54.0,0.3
438,2017-04,10.4,2.0,54.0,0.01
439,2017-04,10.4,2.0,54.0,0.3
440,2017-04,10.4,2.0,54.0,0.01
441,2017-04,10.4,2.0,54.0,0.2
442,2017-04,10.4,2.0,54.0,0.3
443,2017-04,10.4,2.0,54.0,0.1
444,2017-04,10.4,2.0,54.0,0.1
445,2017-04,10.4,2.0,54.0,0.05
446,2017-04,10.4,2.0,54.0,0.01
447,2017-04,10.4,2.0,54.0,0.1
448,2017-04,10.4,2.0,54.0,0.02
449,2017-04,10.4,2.0,54.0,0.25
450,2017-04,10.4,2.0,54.0,2.0
451,2017-04,10.4,2.0,54.0,0.1
452,2017-04,10.4,2.0,54.0,0.05
453,2017-04,10.4,2.0,54.0,0.01
454,2017-04,10.4,2.0,54.0,0.2
455,2017-04,10.4,2.0,54.0,0.1
456,2017-04,10.4,2.0,54.0,0.06
457,2017-04,10.4,2.0,54.0,0.04
458,2017-04,10.4,2.0,54.0,0.03
459,2017-04,10.4,2.0,54.0,0.01
460,2017-04,10.4,2.0,54.0,0.35
461,2017-04,10.4,2.0,54.0,0.06
462,2017-04,10.4,2.0,54.0,0.02
463,2017-04,10.4,2.0,54.0,0.1
464,2017-04,10.4,2.0,54.0,0.4
465,2017-04,10.4,2.0,54.0,0.01
466,2017-04,10.4,2.0,54.0,0.02
467,2017-04,10.4,2.0,54.0,0.2
468,2017-04,10.4,2.0,54.0,0.02
469,2017-04,10.4,2.0,54.0,0.01
470,2017-04,10.4,2.0,54.0,0.03
471,2017-04,10.4,2.0,54.0,0.5
472,2017-04,10.4,2.0,54.0,0.01
473,2017-04,10.4,2.0,54.0,0.3
474,2017-04,10.4,2.0,54.0,0.12
475,2017-04,10.4,2.0,54.0,0.01
476,2017-04,10.4,2.0,54.0,1.5
477,2017-04,10.4,2.0,54.0,0.06
478,2017-04,10.4,2.0,54.0,0.2
479,2017-04,10.4,2.0,54.0,0.04
480,2017-04,10.4,2.0,54.0,0.15
481,2017-04,10.4,2.0,54.0,0.3
482,2017-04,10.4,2.0,54.0,0.01
483,2017-04,10.4,2.0,54.0,0.05
484,2017-04,10.4,2.0,54.0,0.03
485,2017-04,10.4,2.0,54.0,0.1
486,2017-04,10.4,2.0,54.0,0.07
487,2017-04,10.4,2.0,54.0,0.1
488,2017-04,10.4,2.0,54.0,0.08
489,2017-04,10.4,2.0,54.0,1.0
490,2017-04,10.4,2.0,54.0,0.06
491,2017-04,10.4,2.0,54.0,0.2
492,2017-04,10.4,2.0,54.0,0.17
493,2017-04,10.4,2.0,54.0,0.09
494,2017-04,10.4,2.0,54.0,0.01
495,2017-04,10.4,2.0,54.0,0.4
496,2017-04,10.4,2.0,54.0,0.01
497,2017-04,10.4,2.0,54.0,0.03
498,2017-04,10.4,2.0,54.0,0.01
499,2017-04,10.4,2.0,54.0,0.02
500,2017-04,10.4,2.0,54.0,0.3
501,2017-04,10.4,2.0,54.0,0.05
502,2017-04,10.4,2.0,54.0,0.1
503,2017-04,10.4,2.0,54.0,0.01
504,2017-04,10.4,2.0,54.0,0.3
505,2017-04,10.4,2.0,54.0,0.1
506,2017-04,10.4,2.0,54.0,0.3
507,2017-04,10.4,2.0,54.0,0.02
508,2017-04,10.4,2.0,54.0,0.2
509,2017-04,10.4,2.0,54.0,0.01
510,2017-04,10.4,2.0,54.0,2.0
511,2017-04,10.4,2.0,54.0,0.25
512,2017-04,10.4,2.0,54.0,0.01
513,2017-04,10.4,2.0,54.0,0.05
514,2017-04,10.4,2.0,54.0,0.1
515,2017-04,10.4,2.0,54.0,0.08
516,2017-04,10.4,2.0,54.0,0.1
517,2017-04,10.4,2.0,54.0,0.1
518,2017-04,10.4,2.0,54.0,0.05
519,2017-04,10.4,2.0,54.0,0.04
520,2017-04,10.4,2.0,54.0,0.01
521,2017-04,10.4,2.0,54.0,2.0
522,2017-04,10.4,2.0,54.0,0.15
523,2017-04,10.4,2.0,54.0,0.2
524,2017-04,10.4,2.0,54.0,0.1
525,2017-04,10.4,2.0,54.0,0.35
526,2017-04,10.4,2.0,54.0,0.06
527,2017-04,10.4,2.0,54.0,0.1
528,2017-04,10.4,2.0,54.0,0.02
529,2017-04,10.4,2.0,54.0,0.01
530,2017-04,10.4,2.0,54.0,0.02
531,2017-04,10.4,2.0,54.0,0.4
532,2017-04,10.4,2.0,54.0,0.01
533,2017-04,10.4,2.0,54.0,0.2
534,2017-04,10.4,2.0,54.0,0.1
535,2017-04,10.4,2.0,54.0,0.02
536,2017-04,10.4,2.0,54.0,0.03
537,2017-04,10.4,2.0,54.0,0.01
538,2017-04,10.4,2.0,54.0,0.03
539,2017-04,10.4,2.0,54.0,0.3
540,2017-04,10.4,2.0,54.0,1.5
541,2017-04,10.4,2.0,54.0,0.2
542,2017-04,10.4,2.0,54.0,0.12
543,2017-04,10.4,2.0,54.0,0.1
544,2017-04,10.4,2.0,54.0,0.04
545,2017-04,10.4,2.0,54.0,0.15
546,2017-04,10.4,2.0,54.0,0.05
547,2017-04,10.4,2.0,54.0,0.07
548,2017-04,10.4,2.0,54.0,0.3
549,2017-04,10.4,2.0,54.0,0.1
550,2017-04,10.4,2.0,54.0,0.03
551,2017-04,10.4,2.0,54.0,0.01
552,2017-04,10.4,2.0,54.0,0.06
553,2017-04,10.4,2.0,54.0,0.5
554,2017-04,10.4,2.0,54.0,0.06
555,2017-04,10.4,2.0,54.0,0.1
556,2017-04,10.4,2.0,54.0,0.01
557,2017-04,10.4,2.0,54.0,0.02
558,2017-04,10.4,2.0,54.0,0.6
559,2017-04,10.4,2.0,54.0,0.6
560,2017-04,10.4,2.0,54.0,0.16
561,2017-04,10.4,2.0,54.0,0.01
562,2017-04,10.4,2.0,54.0,1.0
563,2017-04,10.4,2.0,54.0,0.03
564,2017-04,10.4,2.0,54.0,1.0
565,2017-04,10.4,2.0,54.0,0.01
566,2017-04,10.4,2.0,54.0,0.3
567,2017-04,10.4,2.0,54.0,2.5
568,2017-04,10.4,2.0,54.0,0.01
569,2017-04,10.4,2.0,54.0,0.03
570,2017-04,10.4,2.0,54.0,0.03
571,2017-04,10.4,2.0,54.0,0.03
572,2017-04,10.4,2.0,54.0,0.05
573,2017-04,10.4,2.0,54.0,0.2
574,2017-04,10.4,2.0,54.0,0.2
575,2017-04,10.4,2.0,54.0,0.3
576,2017-04,10.4,2.0,54.0,0.1
577,2017-04,10.4,2.0,54.0,0.15
578,2017-04,10.4,2.0,54.0,0.03
579,2017-04,10.4,2.0,54.0,0.01
580,2017-04,10.4,2.0,54.0,0.05
581,2017-04,10.4,2.0,54.0,0.1
582,2017-04,10.4,2.0,54.0,0.9
583,2017-04,10.4,2.0,54.0,0.09
584,2017-04,10.4,2.0,54.0,0.2
585,2017-04,10.4,2.0,54.0,0.05
586,2017-04,10.4,2.0,54.0,0.02
587,2017-04,10.4,2.0,54.0,0.3
588,2017-04,10.4,2.0,54.0,0.16
589,2017-04,10.4,2.0,54.0,0.2
590,2017-04,10.4,2.0,54.0,0.1
591,2017-04,10.4,2.0,54.0,0.02
592,2017-04,10.4,2.0,54.0,0.6
593,2017-04,10.4,2.0,54.0,0.3
594,2017-04,10.4,2.0,54.0,2.5
595,2017-04,10.4,2.0,54.0,0.9
596,2017-04,10.4,2.0,54.0,0.01
597,2017-04,10.4,2.0,54.0,0.01
598,2017-04,10.4,2.0,54.0,0.09
599,2017-04,10.4,2.0,54.0,0.06
600,2017-04,10.4,2.0,54.0,0.15
